Year,Gender,Birth-Weight(Grams),AgeMother,Value_LiveBirth
2001,Female,"3,250-3,499",27,223
2001,Female,"3,250-3,499",28,238
2001,Female,"3,250-3,499",29,238
2001,Female,"3,250-3,499",25-29,1142
2001,Female,"3,250-3,499",30,270
2001,Female,"3,250-3,499",31,235
2001,Female,"3,250-3,499",32,211
2001,Female,"3,250-3,499",33,158
2001,Female,"3,250-3,499",34,150
2001,Female,"3,250-3,499",30-34,1024
2001,Female,"3,250-3,499",35,119
2001,Female,"3,250-3,499",36,123
2001,Female,"3,250-3,499",37,81
2001,Female,"3,250-3,499",38,74
2001,Female,"3,250-3,499",39,53
2001,Female,"3,250-3,499",35-39,450
2001,Female,"3,250-3,499",40,33
2001,Female,"3,250-3,499",41,20
2001,Female,"3,250-3,499",42,8
2001,Female,"3,250-3,499",43,4
2001,Female,"3,250-3,499",44,4
2001,Female,"3,250-3,499",40-44,69
2001,Female,"3,250-3,499",45+,3
2001,Female,"3,250-3,499",NS,0
2001,Female,"3,250-3,499",Res Total,3620
2001,Female,"3,250-3,499",Non Res Total,39
2001,Female,"3,250-3,499",Grand Total,3659
2001,Female,"3,500-3,749",10,0
2001,Female,"3,500-3,749",11,0
2001,Female,"3,500-3,749",12,0
2001,Female,"3,500-3,749",13,0
2001,Female,"3,500-3,749",14,3
2001,Female,"3,500-3,749",14-Oct,3
2001,Female,"3,500-3,749",15,3
2001,Female,"3,500-3,749",16,18
2001,Female,"3,500-3,749",17,28
2001,Female,"3,500-3,749",18,54
2001,Female,"3,500-3,749",19,82
2001,Female,"3,500-3,749",15-19,185
2001,Female,"3,500-3,749",20,85
2001,Female,"3,500-3,749",21,124
2001,Female,"3,500-3,749",22,96
2001,Female,"3,500-3,749",23,144
2001,Female,"3,500-3,749",24,167
2001,Female,"3,500-3,749",20-24,616
2001,Female,"3,500-3,749",25,190
2001,Female,"3,500-3,749",26,199
2001,Female,"3,500-3,749",27,233
2001,Female,"3,500-3,749",28,196
2001,Female,"3,500-3,749",29,200
2001,Female,"3,500-3,749",25-29,1018
2001,Female,"3,500-3,749",30,216
2001,Female,"3,500-3,749",31,216
2001,Female,"3,500-3,749",32,183
2001,Female,"3,500-3,749",33,152
2001,Female,"3,500-3,749",34,132
2001,Female,"3,500-3,749",30-34,899
2001,Female,"3,500-3,749",35,106
2001,Female,"3,500-3,749",36,89
2001,Female,"3,500-3,749",37,77
2001,Female,"3,500-3,749",38,50
2001,Female,"3,500-3,749",39,30
2001,Female,"3,500-3,749",35-39,352
2001,Female,"3,500-3,749",40,30
2001,Female,"3,500-3,749",41,16
2001,Female,"3,500-3,749",42,9
2001,Female,"3,500-3,749",43,4
2001,Female,"3,500-3,749",44,4
2001,Female,"3,500-3,749",40-44,63
2001,Female,"3,500-3,749",45+,6
2001,Female,"3,500-3,749",NS,0
2001,Female,"3,500-3,749",Res Total,3142
2001,Female,"3,500-3,749",Non Res Total,43
2001,Female,"3,500-3,749",Grand Total,3185
2001,Female,"3,750-3,999",10,0
2001,Female,"3,750-3,999",11,0
2001,Female,"3,750-3,999",12,0
2001,Female,"3,750-3,999",13,0
2001,Female,"3,750-3,999",14,0
2001,Female,"3,750-3,999",14-Oct,0
2001,Female,"3,750-3,999",15,2
2001,Female,"3,750-3,999",16,11
2001,Female,"3,750-3,999",17,19
2001,Female,"3,750-3,999",18,20
2001,Female,"3,750-3,999",19,46
2001,Female,"3,750-3,999",15-19,98
2001,Female,"3,750-3,999",20,59
2001,Female,"3,750-3,999",21,61
2001,Female,"3,750-3,999",22,63
2001,Female,"3,750-3,999",23,83
2001,Female,"3,750-3,999",24,99
2001,Female,"3,750-3,999",20-24,365
2001,Female,"3,750-3,999",25,111
2001,Female,"3,750-3,999",26,137
2001,Female,"3,750-3,999",27,143
2001,Female,"3,750-3,999",28,141
2001,Female,"3,750-3,999",29,175
2001,Female,"3,750-3,999",25-29,707
2001,Female,"3,750-3,999",30,143
2001,Female,"3,750-3,999",31,137
2001,Female,"3,750-3,999",32,113
2001,Female,"3,750-3,999",33,103
2001,Female,"3,750-3,999",34,105
2001,Female,"3,750-3,999",30-34,601
2001,Female,"3,750-3,999",35,68
2001,Female,"3,750-3,999",36,59
2001,Female,"3,750-3,999",37,53
2001,Female,"3,750-3,999",38,37
2001,Female,"3,750-3,999",39,30
2001,Female,"3,750-3,999",35-39,247
2001,Female,"3,750-3,999",40,15
2001,Female,"3,750-3,999",41,9
2001,Female,"3,750-3,999",42,6
2001,Female,"3,750-3,999",43,4
2001,Female,"3,750-3,999",44,1
2001,Female,"3,750-3,999",40-44,35
2001,Female,"3,750-3,999",45+,0
2001,Female,"3,750-3,999",NS,0
2001,Female,"3,750-3,999",Res Total,2053
2001,Female,"3,750-3,999",Non Res Total,24
2001,Female,"3,750-3,999",Grand Total,2077
2001,Female,"4,000-4,249",10,0
2001,Female,"4,000-4,249",11,0
2001,Female,"4,000-4,249",12,0
2001,Female,"4,000-4,249",13,0
2001,Female,"4,000-4,249",14,1
2001,Female,"4,000-4,249",14-Oct,1
2001,Female,"4,000-4,249",15,3
2001,Female,"4,000-4,249",16,7
2001,Female,"4,000-4,249",17,14
2001,Female,"4,000-4,249",18,17
2001,Female,"4,000-4,249",19,30
2001,Female,"4,000-4,249",15-19,71
2001,Female,"4,000-4,249",20,23
2001,Female,"4,000-4,249",21,34
2001,Female,"4,000-4,249",22,46
2001,Female,"4,000-4,249",23,53
2001,Female,"4,000-4,249",24,54
2001,Female,"4,000-4,249",20-24,210
2001,Female,"4,000-4,249",25,50
2001,Female,"4,000-4,249",26,63
2001,Female,"4,000-4,249",27,73
2001,Female,"4,000-4,249",28,83
2001,Female,"4,000-4,249",29,66
2001,Female,"4,000-4,249",25-29,335
2001,Female,"4,000-4,249",30,88
2001,Female,"4,000-4,249",31,77
2001,Female,"4,000-4,249",32,63
2001,Female,"4,000-4,249",33,54
2001,Female,"4,000-4,249",34,40
2001,Female,"4,000-4,249",30-34,322
2001,Female,"4,000-4,249",35,39
2001,Female,"4,000-4,249",36,42
2001,Female,"4,000-4,249",37,29
2001,Female,"4,000-4,249",38,16
2001,Female,"4,000-4,249",39,11
2001,Female,"4,000-4,249",35-39,137
2001,Female,"4,000-4,249",40,8
2001,Female,"4,000-4,249",41,6
2001,Female,"4,000-4,249",42,8
2001,Female,"4,000-4,249",43,2
2001,Female,"4,000-4,249",44,1
2001,Female,"4,000-4,249",40-44,25
2001,Female,"4,000-4,249",45+,0
2001,Female,"4,000-4,249",NS,0
2001,Female,"4,000-4,249",Res Total,1101
2001,Female,"4,000-4,249",Non Res Total,11
2001,Female,"4,000-4,249",Grand Total,1112
2001,Female,"4,250-4,499",10,0
